year,spp,month,type,date,month_char,day,month_split,timing,se_mpa,sd_mpa,mean_mpa
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.04132314198244469,0.26135049747810185,-1.2706875
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.018795841397664374,0.11887533871180413,-0.80275
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.04132314198244469,0.26135049747810185,-1.2706875
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.018795841397664374,0.11887533871180413,-0.80275
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.04132314198244469,0.26135049747810185,-1.2706875
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.018795841397664374,0.11887533871180413,-0.80275
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.04132314198244469,0.26135049747810185,-1.2706875
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.018795841397664374,0.11887533871180413,-0.80275
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.04132314198244469,0.26135049747810185,-1.2706875
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.018795841397664374,0.11887533871180413,-0.80275
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,midday,0.030785226306300862,0.11923066879352971,-1.7946666666666666
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,predawn,0.06508138982525882,0.25205913894126025,-0.8163333333333334
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,midday,0.05927267871229129,0.22956209753780707,-1.9214444444
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,predawn,0.10460465591021019,0.40513209027600133,-1.1494444444666667
2021,ABCO,8,tree,2021-08-20,Aug,20,late August,midday,0.08152705550167315,0.3050463094397644,-2.1427380952857145
2021,ABCO,8,tree,2021-08-20,Aug,20,late August,predawn,0.1255797822249108,0.4698765197913004,-1.5195238095
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,midday,0.09528761807669536,0.36904735791081394,-2.107666666666667
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,predawn,0.11869199689102097,0.45969212728702674,-1.8304444444
2021,ABCO,10,tree,2021-10-17,Oct,17,late Oct.,midday,0.04061078305323894,0.146424260635197,-1.8873076923076924
2021,ABCO,10,tree,2021-10-17,Oct,17,late Oct.,predawn,0.04229457839377563,0.1524952710728894,-1.3055128205384616
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.04132314198244469,0.26135049747810185,-1.2706875
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.018795841397664374,0.11887533871180413,-0.80275
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,midday,0.030785226306300862,0.11923066879352971,-1.7946666666666666
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,predawn,0.06508138982525882,0.25205913894126025,-0.8163333333333334
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,midday,0.05927267871229129,0.22956209753780707,-1.9214444444
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,predawn,0.10460465591021019,0.40513209027600133,-1.1494444444666667
2021,ABCO,8,tree,2021-08-20,Aug,20,late August,midday,0.08152705550167315,0.3050463094397644,-2.1427380952857145
2021,ABCO,8,tree,2021-08-20,Aug,20,late August,predawn,0.1255797822249108,0.4698765197913004,-1.5195238095
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,midday,0.09528761807669536,0.36904735791081394,-2.107666666666667
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,predawn,0.11869199689102097,0.45969212728702674,-1.8304444444
2021,ABCO,10,tree,2021-10-17,Oct,17,late Oct.,midday,0.04061078305323894,0.146424260635197,-1.8873076923076924
2021,ABCO,10,tree,2021-10-17,Oct,17,late Oct.,predawn,0.04229457839377563,0.1524952710728894,-1.3055128205384616
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.04132314198244469,0.26135049747810185,-1.2706875
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.018795841397664374,0.11887533871180413,-0.80275
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,midday,0.030785226306300862,0.11923066879352971,-1.7946666666666666
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,predawn,0.06508138982525882,0.25205913894126025,-0.8163333333333334
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,midday,0.05927267871229129,0.22956209753780707,-1.9214444444
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,predawn,0.10460465591021019,0.40513209027600133,-1.1494444444666667
2021,ABCO,8,tree,2021-08-20,Aug,20,late August,midday,0.08152705550167315,0.3050463094397644,-2.1427380952857145
2021,ABCO,8,tree,2021-08-20,Aug,20,late August,predawn,0.1255797822249108,0.4698765197913004,-1.5195238095
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,midday,0.09528761807669536,0.36904735791081394,-2.107666666666667
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,predawn,0.11869199689102097,0.45969212728702674,-1.8304444444
2021,ABCO,10,tree,2021-10-17,Oct,17,late Oct.,midday,0.04061078305323894,0.146424260635197,-1.8873076923076924
2021,ABCO,10,tree,2021-10-17,Oct,17,late Oct.,predawn,0.04229457839377563,0.1524952710728894,-1.3055128205384616
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.04132314198244469,0.26135049747810185,-1.2706875
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.018795841397664374,0.11887533871180413,-0.80275
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,midday,0.030785226306300862,0.11923066879352971,-1.7946666666666666
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,predawn,0.06508138982525882,0.25205913894126025,-0.8163333333333334
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,midday,0.05927267871229129,0.22956209753780707,-1.9214444444
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,predawn,0.10460465591021019,0.40513209027600133,-1.1494444444666667
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,midday,0.09528761807669536,0.36904735791081394,-2.107666666666667
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,predawn,0.11869199689102097,0.45969212728702674,-1.8304444444
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.04132314198244469,0.26135049747810185,-1.2706875
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.018795841397664374,0.11887533871180413,-0.80275
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,midday,0.030785226306300862,0.11923066879352971,-1.7946666666666666
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,predawn,0.06508138982525882,0.25205913894126025,-0.8163333333333334
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,midday,0.05927267871229129,0.22956209753780707,-1.9214444444
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,predawn,0.10460465591021019,0.40513209027600133,-1.1494444444666667
2021,ABCO,8,tree,2021-08-20,Aug,20,late August,midday,0.08152705550167315,0.3050463094397644,-2.1427380952857145
2021,ABCO,8,tree,2021-08-20,Aug,20,late August,predawn,0.1255797822249108,0.4698765197913004,-1.5195238095
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,midday,0.09528761807669536,0.36904735791081394,-2.107666666666667
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,predawn,0.11869199689102097,0.45969212728702674,-1.8304444444
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.04132314198244469,0.26135049747810185,-1.2706875
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.018795841397664374,0.11887533871180413,-0.80275
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.04132314198244469,0.26135049747810185,-1.2706875
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.018795841397664374,0.11887533871180413,-0.80275
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.04132314198244469,0.26135049747810185,-1.2706875
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.018795841397664374,0.11887533871180413,-0.80275
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.04132314198244469,0.26135049747810185,-1.2706875
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.018795841397664374,0.11887533871180413,-0.80275
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.04132314198244469,0.26135049747810185,-1.2706875
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.018795841397664374,0.11887533871180413,-0.80275
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.04132314198244469,0.26135049747810185,-1.2706875
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.018795841397664374,0.11887533871180413,-0.80275
2021,ABCO,5,tree,2021-05-14,May,14,early May,midday,0.08885953880472064,0.34415151394235477,-1.7604444444666667
2021,ABCO,5,tree,2021-05-14,May,14,early May,predawn,0.03454350833737025,0.13378643251021205,-0.6266666666666667
2021,ABCO,6,tree,2021-06-15,Jun,15,late June,midday,0.042370764706011574,0.1585368847455088,-1.4738095237142856
2021,ABCO,6,tree,2021-06-15,Jun,15,late June,predawn,0.022831372835580864,0.08542717482044104,-0.6314285714285715
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,midday,0.030785226306300862,0.11923066879352971,-1.7946666666666666
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,predawn,0.06508138982525882,0.25205913894126025,-0.8163333333333334
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,midday,0.05927267871229129,0.22956209753780707,-1.9214444444
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,predawn,0.10460465591021019,0.40513209027600133,-1.1494444444666667
2021,ABCO,8,tree,2021-08-20,Aug,20,late August,midday,0.08152705550167315,0.3050463094397644,-2.1427380952857145
2021,ABCO,8,tree,2021-08-20,Aug,20,late August,predawn,0.1255797822249108,0.4698765197913004,-1.5195238095
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,midday,0.09528761807669536,0.36904735791081394,-2.107666666666667
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,predawn,0.11869199689102097,0.45969212728702674,-1.8304444444
2021,ABCO,10,tree,2021-10-17,Oct,17,late Oct.,midday,0.04061078305323894,0.146424260635197,-1.8873076923076924
2021,ABCO,10,tree,2021-10-17,Oct,17,late Oct.,predawn,0.04229457839377563,0.1524952710728894,-1.3055128205384616
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.04132314198244469,0.26135049747810185,-1.2706875
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.018795841397664374,0.11887533871180413,-0.80275
2021,ABCO,5,tree,2021-05-14,May,14,early May,midday,0.08885953880472064,0.34415151394235477,-1.7604444444666667
2021,ABCO,5,tree,2021-05-14,May,14,early May,predawn,0.03454350833737025,0.13378643251021205,-0.6266666666666667
2021,ABCO,6,tree,2021-06-15,Jun,15,late June,midday,0.042370764706011574,0.1585368847455088,-1.4738095237142856
2021,ABCO,6,tree,2021-06-15,Jun,15,late June,predawn,0.022831372835580864,0.08542717482044104,-0.6314285714285715
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,midday,0.030785226306300862,0.11923066879352971,-1.7946666666666666
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,predawn,0.06508138982525882,0.25205913894126025,-0.8163333333333334
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,midday,0.05927267871229129,0.22956209753780707,-1.9214444444
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,predawn,0.10460465591021019,0.40513209027600133,-1.1494444444666667
2021,ABCO,8,tree,2021-08-20,Aug,20,late August,midday,0.08152705550167315,0.3050463094397644,-2.1427380952857145
2021,ABCO,8,tree,2021-08-20,Aug,20,late August,predawn,0.1255797822249108,0.4698765197913004,-1.5195238095
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,midday,0.09528761807669536,0.36904735791081394,-2.107666666666667
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,predawn,0.11869199689102097,0.45969212728702674,-1.8304444444
2021,ABCO,10,tree,2021-10-17,Oct,17,late Oct.,midday,0.04061078305323894,0.146424260635197,-1.8873076923076924
2021,ABCO,10,tree,2021-10-17,Oct,17,late Oct.,predawn,0.04229457839377563,0.1524952710728894,-1.3055128205384616
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.04132314198244469,0.26135049747810185,-1.2706875
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.018795841397664374,0.11887533871180413,-0.80275
2021,ABCO,5,tree,2021-05-14,May,14,early May,midday,0.08885953880472064,0.34415151394235477,-1.7604444444666667
2021,ABCO,5,tree,2021-05-14,May,14,early May,predawn,0.03454350833737025,0.13378643251021205,-0.6266666666666667
2021,ABCO,6,tree,2021-06-15,Jun,15,late June,midday,0.042370764706011574,0.1585368847455088,-1.4738095237142856
2021,ABCO,6,tree,2021-06-15,Jun,15,late June,predawn,0.022831372835580864,0.08542717482044104,-0.6314285714285715
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,midday,0.030785226306300862,0.11923066879352971,-1.7946666666666666
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,predawn,0.06508138982525882,0.25205913894126025,-0.8163333333333334
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,midday,0.05927267871229129,0.22956209753780707,-1.9214444444
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,predawn,0.10460465591021019,0.40513209027600133,-1.1494444444666667
2021,ABCO,8,tree,2021-08-20,Aug,20,late August,midday,0.08152705550167315,0.3050463094397644,-2.1427380952857145
2021,ABCO,8,tree,2021-08-20,Aug,20,late August,predawn,0.1255797822249108,0.4698765197913004,-1.5195238095
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,midday,0.09528761807669536,0.36904735791081394,-2.107666666666667
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,predawn,0.11869199689102097,0.45969212728702674,-1.8304444444
2021,ABCO,10,tree,2021-10-17,Oct,17,late Oct.,midday,0.04061078305323894,0.146424260635197,-1.8873076923076924
2021,ABCO,10,tree,2021-10-17,Oct,17,late Oct.,predawn,0.04229457839377563,0.1524952710728894,-1.3055128205384616
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.04132314198244469,0.26135049747810185,-1.2706875
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.018795841397664374,0.11887533871180413,-0.80275
2021,ABCO,5,tree,2021-05-14,May,14,early May,midday,0.08885953880472064,0.34415151394235477,-1.7604444444666667
2021,ABCO,5,tree,2021-05-14,May,14,early May,predawn,0.03454350833737025,0.13378643251021205,-0.6266666666666667
2021,ABCO,6,tree,2021-06-15,Jun,15,late June,midday,0.042370764706011574,0.1585368847455088,-1.4738095237142856
2021,ABCO,6,tree,2021-06-15,Jun,15,late June,predawn,0.022831372835580864,0.08542717482044104,-0.6314285714285715
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,midday,0.030785226306300862,0.11923066879352971,-1.7946666666666666
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,predawn,0.06508138982525882,0.25205913894126025,-0.8163333333333334
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,midday,0.05927267871229129,0.22956209753780707,-1.9214444444
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,predawn,0.10460465591021019,0.40513209027600133,-1.1494444444666667
2021,ABCO,8,tree,2021-08-20,Aug,20,late August,midday,0.08152705550167315,0.3050463094397644,-2.1427380952857145
2021,ABCO,8,tree,2021-08-20,Aug,20,late August,predawn,0.1255797822249108,0.4698765197913004,-1.5195238095
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,midday,0.09528761807669536,0.36904735791081394,-2.107666666666667
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,predawn,0.11869199689102097,0.45969212728702674,-1.8304444444
2021,ABCO,10,tree,2021-10-17,Oct,17,late Oct.,midday,0.04061078305323894,0.146424260635197,-1.8873076923076924
2021,ABCO,10,tree,2021-10-17,Oct,17,late Oct.,predawn,0.04229457839377563,0.1524952710728894,-1.3055128205384616
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.04132314198244469,0.26135049747810185,-1.2706875
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.018795841397664374,0.11887533871180413,-0.80275
2021,ABCO,5,tree,2021-05-14,May,14,early May,midday,0.08885953880472064,0.34415151394235477,-1.7604444444666667
2021,ABCO,5,tree,2021-05-14,May,14,early May,predawn,0.03454350833737025,0.13378643251021205,-0.6266666666666667
2021,ABCO,6,tree,2021-06-15,Jun,15,late June,midday,0.042370764706011574,0.1585368847455088,-1.4738095237142856
2021,ABCO,6,tree,2021-06-15,Jun,15,late June,predawn,0.022831372835580864,0.08542717482044104,-0.6314285714285715
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,midday,0.030785226306300862,0.11923066879352971,-1.7946666666666666
2021,ABCO,7,tree,2021-07-09,Jul,9,early July,predawn,0.06508138982525882,0.25205913894126025,-0.8163333333333334
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,midday,0.05927267871229129,0.22956209753780707,-1.9214444444
2021,ABCO,7,tree,2021-07-31,Jul,31,late July,predawn,0.10460465591021019,0.40513209027600133,-1.1494444444666667
2021,ABCO,8,tree,2021-08-20,Aug,20,late August,midday,0.08152705550167315,0.3050463094397644,-2.1427380952857145
2021,ABCO,8,tree,2021-08-20,Aug,20,late August,predawn,0.1255797822249108,0.4698765197913004,-1.5195238095
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,midday,0.09528761807669536,0.36904735791081394,-2.107666666666667
2021,ABCO,9,tree,2021-09-17,Sep,17,late Sept.,predawn,0.11869199689102097,0.45969212728702674,-1.8304444444
2021,ABCO,10,tree,2021-10-17,Oct,17,late Oct.,midday,0.04061078305323894,0.146424260635197,-1.8873076923076924
2021,ABCO,10,tree,2021-10-17,Oct,17,late Oct.,predawn,0.04229457839377563,0.1524952710728894,-1.3055128205384616
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,midday,0.04132314198244469,0.26135049747810185,-1.2706875
2021,ABCO,4,tree,2021-04-24,Apr,24,late April,predawn,0.018795841397664374,0.11887533871180413,-0.80275
2021,ARPA,7,shrub,2021-07-31,Jul,31,late July,midday,0.06642291085195613,0.2100476871104967,-2.0568333334
2021,ARPA,7,shrub,2021-07-31,Jul,31,late July,predawn,0.13236845321769247,0.4185858025213522,-0.8886666666999999
2021,ARPA,7,shrub,2021-07-31,Jul,31,late July,midday,0.06642291085195613,0.2100476871104967,-2.0568333334
2021,ARPA,7,shrub,2021-07-31,Jul,31,late July,predawn,0.13236845321769247,0.4185858025213522,-0.8886666666999999
2021,ARPA,7,shrub,2021-07-31,Jul,31,late July,midday,0.06642291085195613,0.2100476871104967,-2.0568333334
2021,ARPA,7,shrub,2021-07-31,Jul,31,late July,predawn,0.13236845321769247,0.4185858025213522,-0.8886666666999999
